id,name,slug,type,aliases,description,sourceIds,parentageIds,childrenIds
entity_nike_001,Nike,nike,DEITY,"Victory|Winged goddess","Goddess of victory and success. Usually depicted as winged, accompanying warriors into battle.","src:hesiod-theogony","",""
entity_prometheus_001,Prometheus,prometheus,DEITY,"Titan|Friend of mankind",Titan who gave fire to humanity and was punished by Zeus with eternal torment. Symbol of defiance and sacrifice.,"src:hesiod-theogony|src:ovid-metamorphoses","",""
entity_pan_001,Pan,pan,DEITY,"Faunus|Goat god","God of shepherds, flocks, and wild nature. Half-human, half-goat, known for his pipes and chaotic energy.","src:homer-iliad|src:apollodorus-library","",""
entity_iris_001,Iris,iris,DEITY,"Rainbow|Messenger goddess","Goddess of the rainbow, servant of Hera and messenger of the gods. Personifies the rainbow itself.","src:homer-iliad","",""
entity_nemesis_001,Nemesis,nemesis,DEITY,"Retribution|Divine vengeance","Goddess of retribution and divine vengeance. Punishes hubris and imbalance, restoring justice.","src:hesiod-theogony","",""
entity_ouranos_001,Ouranos,ouranos,DEITY,"Uranus|Sky god","Primordial sky god, father of the Titans. Castrated by Kronos and succeeded him.","src:hesiod-theogony","","entity_kronos_001"
entity_gaia_001,Gaia,gaia,DEITY,"Gaea|Earth mother","Primordial earth goddess, mother of all. Represents the living earth and fertility.","src:hesiod-theogony","","entity_kronos_001"
entity_leto_001,Leto,leto,HUMAN,"Titaness|Mother of Apollo and Artemis",Titaness and mother of Apollo and Artemis. Pursued by Hera's jealousy for bearing Zeus's children.,"src:homer-iliad|src:hesiod-theogony","",
entity_maia_001,Maia,maia,HUMAN,"Pleiad|Mother of Hermes",Pleiad and mother of Hermes. One of the seven sisters who form the constellation Pleiades.,"src:homer-iliad|src:hesiod-theogony","",
entity_heracles_001,Heracles,heracles,HUMAN,"Hercules|Strong man|Greatest hero","Greatest hero of Greek mythology, son of Zeus and mortal woman Alcmene. Known for his twelve labors and immense strength.","src:apollodorus-library|src:ovid-metamorphoses","entity_zeus_001|entity_alcmene_001",
entity_perseus_001,Perseus,perseus,HUMAN,"Demigod|Slayer of Medusa","Heroic demigod, son of Zeus and Danaë. Famous for slaying Medusa with her own severed head.","src:apollodorus-library|src:ovid-metamorphoses","entity_zeus_001|entity_danae_001",
entity_achilles_001,Achilles,achilles,HUMAN,"Hero of Troy|Great warrior","Greatest warrior of the Trojan War, son of Thetis and Peleus. Nearly invulnerable except for his heel.","src:homer-iliad","entity_thetis_001|entity_peleus_001",
entity_hector_001,Hector,hector,HUMAN,"Prince of Troy|Greatest Trojan","Prince of Troy and greatest Trojan warrior. Son of Priam and Hecuba, killed by Achilles in the Trojan War.","src:homer-iliad","entity_priam_001|entity_hecuba_001",
entity_odysseus_001,Odysseus,odysseus,HUMAN,"Ulysses|King of Ithaca|Master of stratagems","King of Ithaca, known for his intelligence and cunning. Led the Trojan Horse scheme and faced trials returning home.","src:homer-iliad|src:homer-odyssey","",
entity_helen_001,Helen,helen,HUMAN,"Helen of Troy|Most beautiful woman","Most beautiful woman in the world, daughter of Zeus and Leda. Her abduction by Paris sparked the Trojan War.","src:homer-iliad|src:homer-odyssey","entity_zeus_001|entity_leda_001",
entity_medusa_001,Medusa,medusa,MONSTER,"Gorgon|Snake-haired monster",Gorgon monster with snakes for hair whose gaze turns people to stone. Slain by Perseus who used her head as a weapon.,"src:apollodorus-library|src:ovid-metamorphoses","",
entity_cerberus_001,Cerberus,cerberus,MONSTER,"Hound of Hades|Three-headed dog","Three-headed guard dog of the underworld, child of Typhon and Echidna. Guards the gates of Hades.","src:homer-odyssey|src:apollodorus-library","",
entity_minotaur_001,Minotaur,minotaur,MONSTER,"Asterion|Bull-headed monster","Creature with human body and bull's head, child of Pasiphae. Imprisoned in the Labyrinth of Crete.","src:apollodorus-library|src:ovid-metamorphoses","",
entity_chimera_001,Chimera,chimera,MONSTER,"Fire-breathing monster","Hybrid monster with lion front, goat middle, and serpent tail. Breathes fire and was slain by Bellerophon.","src:apollodorus-library|src:ovid-metamorphoses","",
entity_hydra_001,Hydra,hydra,MONSTER,"Lernaean Hydra|Many-headed serpent",Serpent with multiple heads that regenerate when cut off. One of the Twelve Labors of Heracles.,"src:apollodorus-library|src:ovid-metamorphoses","",
entity_jason_001,Jason,jason,HUMAN,"Leader of Argonauts",Prince of Thessaly and leader of the Argonauts. Sailed the ship Argo in quest of the Golden Fleece.,"src:apollodorus-library|src:ovid-metamorphoses","",
entity_theseus_001,Theseus,theseus,HUMAN,"King of Athens|Hero of Athens","King of Athens and great hero. Slew the Minotaur, unified Attica, and performed many great deeds.","src:apollodorus-library|src:ovid-metamorphoses","entity_aegeus_001",
entity_paris_001,Paris,paris,HUMAN,"Alexandros|Prince of Troy","Prince of Troy who abducted Helen, sparking the Trojan War. Son of Priam and Hecuba.","src:homer-iliad","entity_priam_001|entity_hecuba_001",
entity_menelaus_001,Menelaus,menelaus,HUMAN,"King of Sparta",King of Sparta and husband of Helen. Fought in the Trojan War to recover his wife.,"src:homer-iliad|src:homer-odyssey","",
entity_agamemnon_001,Agamemnon,agamemnon,HUMAN,"King of Mycenae|Commander of Greeks",King of Mycenae and commander of the Greek forces in the Trojan War. Killed by his wife Clytemnestra.,"src:homer-iliad|src:homer-odyssey","",
entity_patroclus_001,Patroclus,patroclus,HUMAN,"Companion of Achilles","Companion and closest friend of Achilles in the Trojan War. Killed by Hector, his death motivated Achilles's return.","src:homer-iliad","",
entity_danae_001,Danaë,danae,HUMAN,"Mother of Perseus","Princess of Argos, mother of Perseus. Imprisoned in bronze tower but Zeus reached her as golden rain.","src:apollodorus-library|src:ovid-metamorphoses","",
entity_alcmene_001,Alcmene,alcmene,HUMAN,"Mother of Heracles","Princess of Mycenae and mortal mother of Heracles. Wife of Amphitryon, seduced by Zeus.","src:apollodorus-library|src:ovid-metamorphoses","",
entity_priam_001,Priam,priam,HUMAN,"King of Troy",King of Troy during the Trojan War. Father of many children including Hector and Paris.,"src:homer-iliad","",
entity_hecuba_001,Hecuba,hecuba,HUMAN,"Queen of Troy","Queen of Troy and wife of Priam. Mother of Hector, Paris, and many others. Survived the fall of Troy.","src:homer-iliad","",
entity_leda_001,Leda,leda,HUMAN,"Mother of Helen","Queen of Sparta, mother of Helen and Clytemnestra. Seduced by Zeus in form of a swan.","src:homer-odyssey|src:apollodorus-library","",
entity_peleus_001,Peleus,peleus,HUMAN,"King of Myrmidons",King of the Myrmidons and father of Achilles. Married the sea nymph Thetis.,"src:homer-iliad","",
entity_thetis_001,Thetis,thetis,HUMAN,"Sea nymph|Silver-footed",Sea nymph and mother of Achilles. Tried to make her son immortal by dipping him in the River Styx.,"src:homer-iliad","",
entity_aegeus_001,Aegeus,aegeus,HUMAN,"King of Athens",King of Athens and father of Theseus. Threw himself into the sea (Aegean Sea) after thinking his son was dead.,"src:apollodorus-library","",
entity_troy_001,Troy,troy,PLACE,"Ilium|Ilion","Ancient city in Asia Minor, setting of the Trojan War. Besieged for 10 years by Greek forces.","src:homer-iliad",,
entity_olympus_001,Mount Olympus,mount-olympus,PLACE,"Olympus|Home of the Gods",Mountain in Greece where the Olympian gods dwell. Highest peak in Greece with divine palaces above the clouds.,"src:homer-iliad|src:hesiod-theogony",,
entity_underworld_001,Underworld,underworld,PLACE,"Hades|Kingdom of Hades|Underworld realm",Realm below the earth ruled by Hades. Where souls of the dead reside after death. Contains Tartarus and Elysium.,"src:homer-odyssey|src:hesiod-theogony",,
entity_tartarus_001,Tartarus,tartarus,PLACE,"Deep pit|Prison of Titans",Deepest part of the underworld where defeated Titans are imprisoned. Surrounded by bronze walls.,"src:hesiod-theogony",,
entity_elysium_001,Elysium,elysium,PLACE,"Elysian Fields|Paradise",Blessed realm in the underworld where virtuous souls dwell in peace and happiness after death.,"src:homer-odyssey",,
entity_sparta_001,Sparta,sparta,PLACE,"Lacedaemon","City-state in Greece, home of Helen and Menelaus. Known for warriors and military culture.","src:homer-iliad",,
entity_athens_001,Athens,athens,PLACE,"Athena's city","Major city-state in Greece, patron goddess Athena. Home of many famous heroes including Theseus.","src:homer-iliad",,
entity_labyrinth_001,Labyrinth,labyrinth,PLACE,"Maze|Daedalus's maze",Intricate maze on Crete built by Daedalus. Contained the Minotaur and was inescapable.,"src:apollodorus-library",,
entity_delphi_001,Delphi,delphi,PLACE,"Oracle of Delphi",Sacred site and sanctuary of Apollo in Greece. Home to the Oracle of Delphi who gave prophecies.,"src:homer-iliad",,
entity_crete_001,Crete,crete,PLACE,"Island of Crete","Island in the Mediterranean, home of King Minos and the Minotaur. Significant in Greek mythology.","src:apollodorus-library",,
entity_colchis_001,Colchis,colchis,PLACE,"Land of the Golden Fleece",Kingdom at the edge of the world where Jason sought the Golden Fleece. Home of Medea.,"src:apollodorus-library",,
entity_penelope_001,Penelope,penelope,HUMAN,"Faithful wife","Queen of Ithaca and wife of Odysseus. Waited faithfully for her husband's return for ten years, fending off persistent suitors.","src:homer-odyssey","",
entity_telemachus_001,Telemachus,telemachus,HUMAN,"Son of Odysseus","Son of Odysseus and Penelope. Grew to manhood while his father was lost, learning to be a prince and eventually helping his father.","src:homer-odyssey","entity_odysseus_001|entity_penelope_001",
entity_hebe_001,Hebe,hebe,DEITY,"Youth|Cupbearer","Goddess of youth and spring, cupbearer of the gods. Daughter of Zeus and Hera.","src:hesiod-theogony","entity_zeus_001|entity_hera_001",""
entity_triton_001,Triton,triton,HUMAN,"Messenger of the sea","Sea god and messenger of the sea, son of Poseidon and Amphitrite. Half-human, half-fish, carries a conch trumpet.","src:homer-odyssey","entity_poseidon_001",
entity_polyphemus_001,Polyphemus,polyphemus,MONSTER,"Cyclops|One-eyed giant","Giant Cyclops with a single eye in his forehead. Son of Poseidon, blinded by Odysseus and his men in the cave.","src:homer-odyssey","entity_poseidon_001",
entity_eros_001,Eros,eros,DEITY,"Cupid|God of Love|Winged boy","God of love and desire. Son of Aphrodite, usually depicted as a winged boy with arrows that cause love.","src:hesiod-theogony","entity_aphrodite_001",""
entity_aeneas_001,Aeneas,aeneas,HUMAN,"Trojan hero","Trojan hero, son of Aphrodite and the mortal Anchises. Survived Troy's fall and sailed to found Rome.","src:ovid-metamorphoses","entity_aphrodite_001",
