id,name,slug,description,timestamp,mythIds,participantIds,sourceIds
event_medusa-slain_001,Perseus Slays Medusa,medusa-slain,"Using Athena's shield as a mirror, Perseus sees Medusa's reflection without meeting her deadly gaze. He strikes with the adamantine sickle and severs her head.",216,"myth_perseus-medusa_001","entity_perseus_001|entity_medusa_001|entity_athena_001","src:apollodorus-library"
event_alcmene-deceived_001,Zeus Deceives Alcmene,alcmene-deceived,"Zeus, disguised as her husband Amphitryon, lies with Alcmene. She later bears both Heracles (son of Zeus) and Iphicles (true son of Amphitryon).",300,"myth_heracles-labors_001","entity_zeus_001|entity_alcmene_001","src:apollodorus-library"
event_heracles-born_001,Birth of Heracles,heracles-born,"Heracles is born as the greatest hero of Greek mythology. Even as an infant, he strangles serpents sent by jealous Hera, displaying his extraordinary strength.",301,"myth_heracles-labors_001","entity_heracles_001|entity_alcmene_001|entity_zeus_001","src:apollodorus-library"
event_heracles-madness_001,Hera's Curse: Heracles's Madness,heracles-madness,"Hera's jealousy drives Heracles to madness. In his frenzy, he kills his own wife and children, bringing deep shame and sorrow.",320,"myth_heracles-labors_001","entity_heracles_001|entity_hera_001","src:apollodorus-library"
event_heracles-labors-begin_001,The Twelve Labors Begin,heracles-labors-begin,"To atone for his madness-induced crimes, Heracles accepts twelve impossible labors imposed by King Eurystheus. His first labor: slay the Nemean Lion.",321,"myth_heracles-labors_001|myth_heracles-nemea_001","entity_heracles_001","src:apollodorus-library"
event_heracles-nemean-lion_001,Heracles Slays the Nemean Lion,heracles-nemean-lion,"Heracles's arrows prove useless against the Nemean Lion's impenetrable hide. He discovers the lion is vulnerable internally and strangles it, then uses its claws as a weapon.",322,"myth_heracles-labors_001|myth_heracles-nemea_001","entity_heracles_001","src:apollodorus-library"
event_heracles-hydra_001,Heracles Defeats the Lernaean Hydra,heracles-hydra,Heracles battles the nine-headed Hydra. Each head he cuts off regenerates into two new heads. He eventually succeeds by cauterizing each neck stump to prevent regrowth.,323,"myth_heracles-labors_001","entity_heracles_001|entity_hydra_001","src:apollodorus-library"
event_heracles-cerberus_001,Heracles Captures Cerberus,heracles-cerberus,"The final labor: Heracles descends to the underworld to capture Cerberus, the three-headed guard dog. He overcomes the beast and brings it to the surface.",332,"myth_heracles-labors_001","entity_heracles_001|entity_cerberus_001|entity_hades_001","src:apollodorus-library"
event_theseus-volunteered_001,Theseus Volunteers as Tribute to the Minotaur,theseus-volunteered,"Prince Theseus volunteers to be part of Athens's tribute to Crete, hoping to slay the Minotaur and free his people from this horrible annual tax.",400,"myth_theseus-minotaur_001","entity_theseus_001|entity_minotaur_001","src:apollodorus-library"
event_ariadne-assists_001,Ariadne's Thread: The Escape Plan,ariadne-assists,Princess Ariadne of Crete falls in love with Theseus and gives him a ball of thread to navigate the Labyrinth. He ties one end at the entrance to mark his way.,401,"myth_theseus-minotaur_001","entity_theseus_001|entity_labyrinth_001","src:apollodorus-library"
event_minotaur-slain_001,Theseus Slays the Minotaur,minotaur-slain,"Theseus enters the Labyrinth and confronts the Minotaur. Using his strength and cunning, he defeats the creature and follows Ariadne's thread back to the entrance.",402,"myth_theseus-minotaur_001","entity_theseus_001|entity_minotaur_001","src:apollodorus-library"
event_jason-quest-begins_001,Jason Gathers the Argonauts,jason-quest-begins,"Jason assembles the greatest heroes of Greece for the quest to find the Golden Fleece. The crew includes Heracles, Theseus, and many other legendary heroes.",450,"myth_jason-argonauts_001","entity_jason_001|entity_heracles_001|entity_theseus_001","src:apollodorus-library"
event_argo-launches_001,The Argo Sets Sail,argo-launches,"The legendary ship Argo, built by craftsmen with divine assistance, sets sail from Greece toward distant Colchis in search of the Golden Fleece.",451,"myth_jason-argonauts_001","entity_jason_001|entity_colchis_001","src:apollodorus-library"
event_argo-clashing-rocks_001,The Argonauts Pass the Clashing Rocks,argo-clashing-rocks,"The Argo faces the Symplegades, two floating islands that crash together. Through skill and speed, Jason navigates through the narrow passage, a crucial test of the ship and crew.",453,"myth_jason-argonauts_001","entity_jason_001","src:apollodorus-library"
event_argo-fleece-obtained_001,Jason Obtains the Golden Fleece,argo-fleece-obtained,"With Medea's magical help, Jason retrieves the Golden Fleece from Colchis. They escape as King Aeetes pursues them, ultimately returning to Greece with the prize.",453,"myth_jason-argonauts_001","entity_jason_001|entity_colchis_001","src:apollodorus-library"
event_trojan-war-begins_001,Paris Abducts Helen,paris-abducts-helen,"Prince Paris of Troy, guided by Aphrodite's promise, sails to Sparta and abducts the beautiful Helen, wife of King Menelaus. This act sparks the greatest conflict of the age.",500,"myth_trojan-war_001","entity_paris_001|entity_helen_001|entity_menelaus_001","src:homer-iliad"
event_greeks-assemble_001,Greek Alliance Assembles,greeks-assemble,"Menelaus and his brother Agamemnon rally the Greek city-states. All the greatest heroes—Achilles, Ajax, Odysseus—gather to sail to Troy and recover Helen.",501,"myth_trojan-war_001","entity_menelaus_001|entity_agamemnon_001|entity_achilles_001|entity_odysseus_001","src:homer-iliad"
event_fleet-sails_001,Greek Fleet Sails to Troy,fleet-sails,A thousand ships carrying the might of Greece set sail for Troy. The greatest military expedition ever assembled begins its voyage across the Aegean Sea.,502,"myth_trojan-war_001","entity_agamemnon_001|entity_troy_001","src:homer-iliad"
event_trojan-war-decade_001,Ten Years of Siege and Battle,trojan-war-decade,"For a decade, Greeks and Trojans clash before Troy's impenetrable walls. Heroes fall, alliances shift, and divine powers intervene. Achilles and Hector emerge as champions.",503,"myth_trojan-war_001","entity_achilles_001|entity_hector_001|entity_odysseus_001","src:homer-iliad"
event_hector-slain_001,Achilles Slays Hector,hector-slain,"Achilles and Hector meet in single combat before Troy's gates. Achilles, enraged by the death of Patroclus, kills the great Trojan prince, changing the fate of the war.",509,"myth_trojan-war_001","entity_achilles_001|entity_hector_001","src:homer-iliad"
event_trojan-horse-built_001,Construction of the Trojan Horse,trojan-horse-built,"After years of stalemate, Odysseus devises a brilliant strategy. Greeks build a massive wooden horse, hiding elite warriors inside. The horse is left as a supposed gift.",510,"myth_trojan-war_001|myth_trojan-horse_001","entity_odysseus_001|entity_troy_001","src:homer-odyssey"
event_trojans-horse-accepts_001,Trojans Accept the Wooden Horse,trojans-horse-accepts,"The Trojans, believing the siege is over, drag the massive horse inside their walls as a victory trophy or offering to the gods. This proves to be their fatal mistake.",511,"myth_trojan-war_001|myth_trojan-horse_001","entity_troy_001|entity_priam_001","src:homer-odyssey"
event_troy-falls_001,Fall of Troy,troy-falls,"Under cover of night, Greek warriors emerge from the horse. They open the city gates, allowing the Greek army to pour in. Troy burns and falls after ten years of conflict.",512,"myth_trojan-war_001|myth_trojan-horse_001","entity_odysseus_001|entity_agamemnon_001|entity_troy_001","src:homer-odyssey"
event_odysseus-journey-begins_001,Odysseus Begins Journey Home,odysseus-journey-begins,"After Troy's fall, Odysseus sets sail for Ithaca. However, Poseidon's anger at the blinding of his son Polyphemus dooms him to ten years of wandering.",512,"myth_odyssey_001","entity_odysseus_001|entity_poseidon_001","src:homer-odyssey"
event_odysseus-cyclops_001,Odysseus Encounters the Cyclops,odysseus-cyclops,"Odysseus and his men are trapped in a cave by Polyphemus, a giant Cyclops. Odysseus blinds the monster, but this enrages Poseidon who becomes his relentless enemy.",513,"myth_odyssey_001","entity_odysseus_001|entity_poseidon_001","src:homer-odyssey"
event_odysseus-sirens_001,Odysseus Resists the Sirens,odysseus-sirens,"The Sirens' deadly song lures sailors to their deaths, but Odysseus has his men bind him to the mast while they plug their ears with wax. He alone hears their song.",519,"myth_odyssey_001","entity_odysseus_001","src:homer-odyssey"
event_odysseus-home_001,Odysseus Returns to Ithaca,odysseus-home,"After ten years of trials, Odysseus finally reaches Ithaca. He finds his faithful wife Penelope waiting and his son Telemachus grown to manhood.",522,"myth_odyssey_001","entity_odysseus_001","src:homer-odyssey"
