id,category,question,option1,option2,option3,option4,answer,explanation
d019,기술통계,극단값 수정에도 가장 덜 변하는 대표 통계량은?,평균,중앙값,범위,표준편차,2,중앙값은 극단값의 영향을 적게 받는다
d020,기술통계,범위의 계산 방법은?,최대값-최소값,평균-중앙값,Q3-Q1,분산/평균,1,범위는 최대값과 최소값의 차이다
d021,기술통계,표본분산의 의미는?,자료의 흩어진 정도,자료의 중앙 위치,자료의 최빈값,자료의 명목 분류,1,표본분산은 산포를 나타낸다
d022,기술통계,표본분산 공식의 분모는?,n,n-1,n+1,2n,2,표본분산은 제곱편차합을 n-1로 나눈다
d023,기술통계,상수 10을 모든 자료에 더하면 표준편차는?,10 증가,10 감소,변하지 않음,제곱됨,3,상수 더하기는 산포를 바꾸지 않는다
d024,기술통계,상수 10을 모든 자료에 더하면 평균은?,변하지 않음,10 증가,10 감소,0이 됨,2,평균은 더한 상수만큼 증가한다
d025,다섯숫자요약,다섯숫자요약 구성은?,최소값 Q1 중앙값 Q3 최대값,평균 분산 표준편차 Q1 Q3,최소값 평균 중앙값 분산 최대값,최빈값 평균 범위 Q1 Q3,1,다섯숫자요약은 최소값 Q1 중앙값 Q3 최대값이다
d026,백분위수,50백분위수는 무엇인가?,평균,중앙값,최빈값,범위,2,50백분위수는 중앙값이다
d027,사분위수,사분위수범위 IQR은?,최대값-최소값,Q3-Q1,평균/표준편차,분산의 제곱근,2,IQR은 제3사분위수와 제1사분위수의 차이다
d028,상자그림,상자그림에서 상자의 길이는?,범위,IQR,분산,평균,2,상자 길이는 IQR과 같다
d029,상자그림,상자그림 작성에 사용되는 요약은?,다섯숫자요약,도수분포표,평균과 분산만,상관계수,1,상자그림은 다섯숫자요약을 기반으로 한다
d030,상자그림,상자그림의 장점은?,여러 집단 비교,문자열 검색,파일 읽기,셀 병합,1,여러 집단의 수치 자료 분포 비교에 유용하다
d031,특이치,특이치 영향을 평균보다 적게 받는 것은?,중앙값,표본평균,범위,표본표준편차,1,중앙값은 특이치에 강건하다
d032,특이치,특이치 영향을 범위보다 적게 받는 것은?,IQR,최대값,최소값,전체범위,1,IQR은 중앙 50퍼센트 범위를 사용한다
d033,변이계수,변이계수 계산식은?,표준편차/평균,평균/표준편차,분산/중앙값,범위/분산,1,변이계수는 표준편차를 평균으로 나눈다
d034,변이계수,변이계수를 사용하는 경우는?,평균이 다른 집단 산포 비교,문자열 추출,셀 선택,파일 저장,1,서로 평균이 다른 집단의 상대적 산포 비교에 유용하다
d035,변이계수,평균 24 분산 36일 때 변이계수는?,36퍼센트,25퍼센트,10퍼센트,1.5퍼센트,2,표준편차 6을 평균 24로 나누면 25퍼센트이다
d036,그래프,연속형 자료 분포에 적합한 그래프는?,원그래프,히스토그램,방사형,막대그래프,2,히스토그램은 연속형 자료의 분포 확인에 적합하다
d037,그래프,연속형 자료 분포 확인에 함께 적합한 그래프 조합은?,히스토그램과상자그림,원그래프와방사형,막대그래프와원그래프,분산형과원그래프,1,히스토그램과 상자그림이 적합하다
d038,그래프,범주형 도수분포에 적합한 그래프는?,막대그래프와원그래프,히스토그램과산점도,상자그림과줄기잎,분산형과방사형,1,범주별 비교와 비율 표현에 적합하다
d039,그래프,시계열 자료 경향 파악에 적합한 차트는?,원형,히스토그램,꺾은선형,방사형,3,시간 흐름에 따른 변화는 꺾은선형이 적합하다
d040,그래프,두 변수 관계를 살펴보는 그래프는?,산점도,원그래프,히스토그램,상자그림,1,산점도는 두 변수의 관계를 보여준다
d041,그래프,엑셀에서 산점도는 어떤 차트 종류인가?,막대형,분산형,영역형,원형,2,산점도는 분산형 차트이다
d042,줄기잎그림,줄기잎그림의 장점은?,분포와 구체적 자료값 확인,비율만 표시,회귀식 계산,문서 편집,1,줄기잎그림은 분포와 원자료 값을 함께 보여준다
d043,줄기잎그림,줄기잎그림 설명으로 옳지 않은 것은?,연속형자료에유용,자료값확인가능,범위파악가능,도수분포표작성후그린다,4,줄기잎그림은 도수분포표 작성이 필수는 아니다
d044,상관계수,상관계수의 범위는?,0에서1,-1에서1,0에서100,제한없음,2,상관계수는 -1과 1 사이 값이다
d045,상관계수,상관계수는 무엇을 나타내는가?,선형 연관성,평균 크기,분산 크기,자료 개수,1,두 변수의 선형 연관성 정도를 나타낸다
d046,상관계수,상관계수가 -1에 가까우면?,강한 음의 선형관계,관계 없음,강한 양의 선형관계,평균 증가,1,-1에 가까울수록 강한 음의 선형관계이다
d047,상관계수,강한 비선형 관계에서도 상관계수가 0에 가까울 수 있는가?,예,아니오,항상 1,항상 -1,1,상관계수는 선형 관계만 측정한다
d048,엑셀,엑셀 함수식 시작 기호는?,+,=,#,@,2,엑셀 수식은 등호로 시작한다
d049,엑셀,이웃하지 않은 셀을 선택할 때 사용하는 키는?,CTRL,TAB,SHIFT,ALT,1,CTRL 키를 누른 상태에서 선택한다
d050,엑셀,첫 글자를 추출하는 함수는?,RIGHT,LEFT,LEN,NOW,2,LEFT 함수가 왼쪽부터 문자를 추출한다
d051,엑셀,마지막 글자를 추출하는 함수는?,RIGHT,LEFT,MID,SUM,1,RIGHT 함수가 오른쪽부터 문자를 추출한다
d052,엑셀,합계를 구하는 함수는?,AVERAGE,SUM,YEAR,NOW,2,SUM은 합계를 구한다
d053,엑셀,평균을 구하는 함수는?,SUM,AVERAGE,IF,LEFT,2,AVERAGE는 평균을 구한다
d054,엑셀,조건에 따라 결과를 반환하는 함수는?,IF,SUM,NOW,YEAR,1,IF 함수는 조건문이다
d055,엑셀,현재 날짜와 시간을 반환하는 함수는?,YEAR,NOW,LEFT,MID,2,NOW 함수는 현재 날짜와 시간을 반환한다
d056,엑셀,날짜에서 연도를 추출하는 함수는?,YEAR,MONTH,DAY,NOW,1,YEAR 함수는 연도를 추출한다
d057,엑셀,e의 거듭제곱을 계산하는 함수는?,LOG,EXP,E,POWERONLY,2,EXP 함수는 e의 거듭제곱을 계산한다
d058,엑셀,복리 계산식에 필요한 기본 형태는?,p*(1+r)^n,p+r+n,p/(1+r),p-r*n,1,복리 원리합계는 p 곱하기 1+r의 n제곱이다
d059,한글2014,한글 2014 한자변환 단축키는?,F5,F7,F8,F9,4,한자로 변환은 F9를 사용한다
d060,한글2014,한글 2014에서 가능한 기능은?,그림삽입,R코드실행,데이터프레임생성,히스토그램작성,1,문서 작성 중 그림을 삽입할 수 있다
d061,한글수식,조건식 수식 작성에 사용하는 명령은?,cases,scan,read.table,attach,1,cases는 조건식 형태를 만들 때 사용한다
d062,한글수식,수식에서 분수를 만드는 명령은?,over,cases,LEFT,SUM,1,over는 분수 표현에 사용된다
d063,R,텍스트 파일을 데이터프레임으로 읽는 함수는?,scan,read.table,data.frame,read.xlsx,2,텍스트 파일은 read.table로 읽는다
d064,R,데이터의 처음 6개 행을 출력하는 함수는?,head,tail,summary,attach,1,head 함수는 기본적으로 처음 6개 행을 보여준다
d065,R,데이터프레임 변수를 직접 사용하기 위한 명령은?,load,detach,unload,attach,4,attach를 사용하면 변수명을 직접 사용할 수 있다
d066,R,그룹별 평균 계산에 적합한 함수는?,sapply,tapply,hist,plot,2,tapply는 그룹별 통계량 계산에 적합하다
d067,R,그룹별 표준편차 계산 명령 형태는?,tapply(height sex sd),sapply(height sex mean),hist(rnorm(100)),plot(math physics),1,tapply에 자료 그룹 함수 순서로 넣는다
d068,R,상자그림을 그리는 함수는?,box,boxt,boxplot,stem,3,상자그림은 boxplot 함수로 그린다
d069,R,성별에 따른 salary 상자그림 형태는?,boxplot(salary~sex),boxplot(sex~salary),stem(salary~sex),hist(salary~sex),1,수치변수 salary를 그룹변수 sex별로 그린다
d070,R,정규분포 난수 100개 히스토그램 명령은?,hist(pnorm(100)),stem(pnorm(100)),hist(rnorm(100)),stem(rnorm(100)),3,rnorm은 정규난수 생성이고 hist는 히스토그램이다
d071,R,plot(math physics)의 결과는?,상관계수,산점도,줄기잎그림,회귀식,2,plot 함수는 두 변수 산점도를 그린다
d072,R,줄기잎그림을 만드는 함수는?,stem,hist,boxplot,tapply,1,stem 함수는 줄기잎그림을 만든다
d073,R,데이터프레임 dframe[1 2]의 의미는?,1열2행,1행2열,전체행,전체열,2,대괄호 인덱스는 행과 열 순서이다
d074,R,x=-2:2일 때 sum(x^2)의 값은?,0,1,5,10,4,4+1+0+1+4는 10이다
d075,R,x가 2부터3일 때 sum(x^2)의 값은?,4,9,13,14,3,2제곱과 3제곱의 합은 13이다
d076,R,함수 function(x){x*x*x}에 2를 넣은 결과는?,2,4,6,8,4,2의 세제곱은 8이다
d077,R,rnorm(150)의 기본 평균과 분산은?,평균0 분산1,평균150 분산1,평균1 분산0,평균100 분산1,1,rnorm은 기본적으로 표준정규분포 난수를 만든다
