id,category,question,option1,option2,option3,option4,answer,explanation
ma066,키보드이벤트,키보드 입력 이벤트를 처리하는 콜백 메소드는?,onKeyDown,onTouch,onSensorChanged,onCreateDialog,1,onKeyDown은 키 입력 이벤트를 처리한다
ma067,키보드이벤트,키 입력 정보를 담는 객체는?,KeyEvent,MotionEvent,SensorEvent,Canvas,1,KeyEvent는 키보드 입력 이벤트 정보를 담는다
ma068,센서,센서 접근 메소드를 제공하는 클래스는?,SensorManager,Sensor,SensorEvent,AudioManager,1,SensorManager는 센서에 접근하는 메소드를 제공한다
ma069,센서,접근하려는 실제 센서 객체를 나타내는 클래스는?,Sensor,SensorEvent,SensorManager,Intent,1,Sensor 클래스는 사용할 센서 객체를 나타낸다
ma070,센서,센서값 변경 시 이벤트 형태로 값을 전달받는 인터페이스는?,SensorEventListener,Sensor,MotionEvent,FragmentManager,1,SensorEventListener는 센서값 변경 이벤트를 수신한다
ma071,센서,센서에 대한 정보와 센서값을 담는 클래스는?,SensorEvent,SensorManager,AudioManager,Canvas,1,SensorEvent 객체를 통해 센서값에 접근한다
ma072,Activity,액티비티는 안드로이드 앱에서 어떤 역할을 하는가?,주요 컴포넌트로 화면을 구성한다,오디오 파일만 재생한다,데이터베이스 엔진이다,하드웨어 계층이다,1,액티비티는 응용 프로그램을 구성하는 주요 컴포넌트이다
ma073,Intent,인텐트의 의미는?,액티비티 등 컴포넌트 사이의 통신 장치,텍스트 출력 위젯,표 형식 레이아웃,센서값 객체,1,인텐트는 컴포넌트가 수행할 작업 정보를 전달한다
ma074,Intent,인텐트가 사용될 수 있는 대상이 아닌 것은?,Activity,Service,ContentProvider,TextView의 textSize,4,인텐트는 Activity Service CP BR 같은 컴포넌트 작업 정보를 가진다
ma075,Intent,명시적 인텐트의 특징은?,호출 대상 컴포넌트가 명확하다,호출 대상이 정해지지 않는다,센서값을 저장한다,위젯을 그린다,1,명시적 인텐트는 호출할 대상이 분명히 지정되어 있다
ma076,Intent,암시적 인텐트의 특징은?,호출 대상이 분명히 정해지지 않는다,대상 클래스가 반드시 지정된다,레이아웃만 변경한다,소리만 재생한다,1,암시적 인텐트는 수행할 작업은 있지만 대상이 고정되지 않는다
ma077,Manifest,서브 액티비티를 호출하기 위해 필요한 것은?,매니페스트 등록,Canvas 생성,SoundPool 생성,SensorEvent 생성,1,서브 액티비티는 매니페스트에 등록되어야 호출할 수 있다
ma078,Fragment,프래그먼트의 의미는?,하나의 액티비티를 분할한 화면 일부 기능 단위,오디오 장비 관리자,리눅스 커널 모듈,XML 태그,1,프래그먼트는 액티비티 안에서 특정 기능을 수행하고 화면 일부를 차지한다
ma079,Fragment,프래그먼트 레이아웃의 역할은?,프래그먼트의 사용자 인터페이스 표현,센서값 기록,오디오 출력,앱 설치,1,프래그먼트 레이아웃은 프래그먼트 UI를 표현한다
ma080,Fragment,프래그먼트 생명주기 단계가 아닌 것은?,추가 단계,실행 단계,종료 단계,커널 단계,4,프래그먼트 생명주기는 추가 실행 종료 단계로 볼 수 있다
ma081,Fragment,액티비티의 여러 프래그먼트를 관리하는 것은?,FragmentManager,SensorManager,AudioManager,TableLayout,1,FragmentManager는 여러 프래그먼트를 관리한다
ma082,AdapterView,AdapterView의 특징은?,여러 차일드 뷰와 상호작용 처리 가능,오디오만 재생,센서만 접근,커널만 관리,1,AdapterView는 여러 항목 View를 가지고 사용자 상호작용도 처리한다
ma083,ListView,ListView의 특징은?,항목을 수직으로 펼쳐 보여준다,항목을 원형으로 보여준다,항목을 절대 좌표에 고정한다,항목을 모두 겹친다,1,ListView는 목록 항목들을 세로로 나열한다
ma084,Spinner,Spinner의 장점은?,클릭할 때만 팝업으로 펼쳐져 화면 면적을 적게 차지한다,항상 전체 목록을 크게 보여준다,소리 파일을 재생한다,센서값을 수집한다,1,Spinner는 모바일의 좁은 화면에서 공간을 절약한다
ma085,Dialog,AlertDialog의 역할은?,메시지를 출력하고 사용자의 의사를 전달받는다,날짜만 입력한다,시간만 입력한다,이미지만 출력한다,1,AlertDialog는 확인이나 취소 같은 사용자 응답을 받을 수 있다
ma086,Dialog,DatePickerDialog의 역할은?,날짜 정보 입력,시간 정보 입력,오디오 선택,센서 선택,1,DatePickerDialog는 날짜 입력을 쉽게 해주는 위젯이다
ma087,Dialog,TimePickerDialog의 역할은?,시간 정보 입력,날짜 정보 입력,이미지 출력,레이아웃 중첩,1,TimePickerDialog는 시간 입력 인터페이스를 제공한다
ma088,Android구조,시스템 앱의 의미는?,안드로이드 프레임워크와 함께 제공되는 기본 구성 앱,사용자가 만든 XML 파일,센서값 객체,View 내부 여백,1,시스템 앱은 기본 제공 앱이나 개발자가 접근할 수 있는 구성 앱이다
ma089,Android구조,네이티브 C C++ 라이브러리에 포함될 수 있는 것은?,SQLite와 OpenGL ES,TextView와 Button만,Activity와 Fragment만,DatePickerDialog만,1,네이티브 라이브러리는 SQLite OpenGL ES 미디어 라이브러리 등을 포함한다
ma090,Android구조,안드로이드 런타임의 역할은?,앱 실행환경 제공,표 형식 배치,텍스트 색상 변경,날짜 선택,1,안드로이드 런타임은 앱 프로세스 실행을 위한 환경을 제공한다
ma091,레이아웃비교,차일드 View가 모두 프레임 좌상단에 나타나는 레이아웃은?,FrameLayout,LinearLayout,TableLayout,RelativeLayout,1,FrameLayout은 차일드를 좌상단 기준으로 겹쳐 표시한다
ma092,레이아웃비교,차일드 View를 행과 열 형태로 배치하는 레이아웃은?,TableLayout,AbsoluteLayout,FrameLayout,LinearLayout,1,TableLayout은 표 형식으로 배치한다
ma093,레이아웃비교,차일드 View를 절대 좌표에 배치하는 레이아웃은?,AbsoluteLayout,RelativeLayout,LinearLayout,TableLayout,1,AbsoluteLayout은 좌표값을 이용한다
ma094,레이아웃비교,차일드 View를 일렬로 배치하는 레이아웃은?,LinearLayout,FrameLayout,TableLayout,AbsoluteLayout,1,LinearLayout은 수평 또는 수직 일렬 배치이다
ma095,레이아웃비교,View 간 관계로 배치하는 레이아웃은?,RelativeLayout,FrameLayout,TableLayout,AbsoluteLayout,1,RelativeLayout은 부모나 다른 View와의 관계를 이용한다
ma096,위젯비교,텍스트 출력 위젯은?,TextView,EditText,ImageView,Switch,1,TextView는 텍스트를 출력한다
ma097,위젯비교,문자열 입력 위젯은?,EditText,TextView,ImageView,CheckBox,1,EditText는 문자열 입력을 받는다
ma098,위젯비교,이미지 출력 위젯은?,ImageView,TextView,Button,RadioButton,1,ImageView는 이미지나 비트맵을 출력한다
ma099,위젯비교,선택 이벤트를 수집하는 위젯은?,Button,ImageView,TableLayout,Canvas,1,Button은 사용자 클릭 이벤트를 수집한다
ma100,위젯비교,다수 선택에 적합한 위젯은?,CheckBox,RadioButton,TimePickerDialog,ImageView,1,CheckBox는 여러 항목을 선택할 수 있다
ma101,위젯비교,단일 선택에 적합한 위젯은?,RadioButton,CheckBox,SoundPool,SensorEvent,1,RadioButton은 하나의 항목 선택에 적합하다
ma102,위젯비교,On Off 상태 전환에 적합한 위젯은?,Switch,TextView,Canvas,ListView,1,Switch는 토글 형태 인터페이스이다
ma103,AdapterView,항목을 수직 목록으로 보여주는 AdapterView는?,ListView,Spinner,FrameLayout,Canvas,1,ListView는 항목을 세로 목록으로 출력한다
ma104,AdapterView,좁은 모바일 화면에서 선택 목록 공간을 줄이기 좋은 위젯은?,Spinner,ListView,TableLayout,Canvas,1,Spinner는 클릭할 때만 팝업 목록을 보여준다
ma105,Dialog비교,사용자에게 확인이나 취소를 묻기 좋은 위젯은?,AlertDialog,DatePickerDialog,TimePickerDialog,ImageView,1,AlertDialog는 메시지와 사용자 의사 전달에 적합하다
ma106,Dialog비교,날짜 선택에 적합한 위젯은?,DatePickerDialog,TimePickerDialog,AlertDialog,Button,1,DatePickerDialog는 날짜 입력 UI이다
ma107,Dialog비교,시간 선택에 적합한 위젯은?,TimePickerDialog,DatePickerDialog,AlertDialog,Spinner,1,TimePickerDialog는 시간 입력 UI이다
ma108,이벤트비교,터치 이벤트 정보 객체는?,MotionEvent,KeyEvent,SensorEvent,Intent,1,MotionEvent는 화면 터치 정보를 담는다
ma109,이벤트비교,키보드 이벤트 정보 객체는?,KeyEvent,MotionEvent,SensorEvent,Canvas,1,KeyEvent는 키 입력 정보를 담는다
ma110,센서비교,센서값 변경 정보를 전달하는 객체는?,SensorEvent,MotionEvent,KeyEvent,Intent,1,SensorEvent는 센서 관련 정보와 값을 담는다
ma111,센서비교,센서값 변경을 수신하는 인터페이스는?,SensorEventListener,OnClickListener,FragmentManager,AudioManager,1,SensorEventListener는 센서값 변경 이벤트를 전달받는다
ma112,소리비교,짧은 효과음 재생에 적합한 객체는?,SoundPool,SensorManager,FragmentManager,TableLayout,1,SoundPool은 효과음 재생에 적합하다
ma113,소리비교,시스템 오디오와 출력 장비를 관리하는 객체는?,AudioManager,SoundPool,Canvas,View,1,AudioManager는 오디오와 출력 장비를 관리한다
ma114,인텐트비교,대상 컴포넌트를 직접 지정하는 인텐트는?,명시적 인텐트,암시적 인텐트,프래그먼트,AdapterView,1,명시적 인텐트는 호출 대상이 정해져 있다
ma115,인텐트비교,대상이 정해지지 않고 작업 중심인 인텐트는?,암시적 인텐트,명시적 인텐트,Activity,View,1,암시적 인텐트는 대상이 고정되지 않는다
ma116,프래그먼트,프래그먼트가 차지하는 위치는?,액티비티 화면 일부,리눅스 커널,오디오 출력 장비,XML 파일 헤더,1,프래그먼트는 스마트폰 화면의 일부를 차지한다
ma117,프래그먼트,프래그먼트를 여러 개 관리하는 객체는?,FragmentManager,SensorManager,AudioManager,SoundPool,1,FragmentManager가 액티비티 안의 프래그먼트를 관리한다
ma118,Android구조,앱들이 사용하는 API를 제공하는 프레임워크는?,JAVA API Framework,Linux Kernel,AudioManager,Spinner,1,JAVA API Framework는 앱 개발에 필요한 API를 제공한다
ma119,Android구조,안드로이드 프레임워크 최하단에서 자원을 관리하는 계층은?,Linux Kernel,TextView,Button,DatePickerDialog,1,Linux Kernel은 안드로이드 시스템 자원을 관리한다
ma120,Android구조,하드웨어 기능을 상위 계층에 제공하는 표준 인터페이스 계층은?,HAL,ART,Dalvik,XML,1,HAL은 하드웨어 추상화 계층으로 JAVA API Framework에 하드웨어 기능을 제공한다
