id,name,type,aliases,description,domain,romanName,symbols,sacredAnimals,parentIds,childrenIds,sourceIds,notes
deity_hermes_001,Hermes,DEITY,"Mercury, Thoth",God of messengers travelers merchants and thieves,Messengers|Travelers|Merchants|Thieves|Boundaries|Magic,Mercury,Caduceus|Winged shoes|Traveler's hat,Tortoise|Crane|Hawk,deity_zeus_001|deity_maia_001,"deity_pan_001",src:theoi-hermes|src:homer-iliad|src:ovid-metamorphoses|src:homer-hymn-to-hermes,Son of Zeus and Maia. Known as Thoth in Egyptian traditions. Guide of souls to the underworld.
deity_dionysus_001,Dionysus,DEITY,"Bacchus, Liber, Bromios",God of wine ecstasy theater and fertility,Wine|Ecstasy|Theater|Fertility|Madness|Celebration,Bacchus,Grapevine|Thyrsus|Mask|Leopard,Leopard|Tiger|Panther|Serpent,deity_zeus_001|deity_semele_001,,src:theoi-dionysus|src:homer-hymn-to-dionysus|src:ovid-metamorphoses|src:hesiod-theogony,Son of Zeus and mortal Semele. Only male Olympian god born of a mortal woman. God of wine and ecstasy.
deity_hestia_001,Hestia,DEITY,"Vesta",Goddess of the hearth home and family,Hearth|Home|Family|Domesticity|Fire,Vesta,Hearth fire|Candlestick|Domestic hearth,Donkey|Pig,deity_cronus_001|deity_rhea_001,,src:theoi-hestia|src:homer-hymn-to-hestia|src:hesiod-theogony,Eldest child of Cronus and Rhea. Goddess of the hearth. Chose peace over conflict; allowed Dionysus to take her seat.
deity_kronos_001,Kronos,DEITY,"Cronus, Saturn",King of the Titans god of agriculture and wealth,Agriculture|Wealth|Time|Harvest|Reign,Saturn,Sickle|Scythe|Horologium,Dragon|Serpent,deity_ouranos_001|deity_gaia_001,"deity_zeus_001|deity_hera_001|deity_poseidon_001|deity_demeter_001|deity_hestia_001|deity_hades_001",src:theoi-kronos|src:hesiod-theogony|src:ovid-metamorphoses,Son of Uranus and Gaia. Overthrown by Zeus. Imprisoned in Tartarus. Associated with golden age of mankind.
deity_hades_001,Hades,DEITY,"Pluto, Dis Pater, Pluton",God of the underworld the dead and wealth,Underworld|Death|Wealth|Shadows|The dead,Pluto,Scepter|Throne|Helm of Invisibility|Torch,Serpent|Dragon|Black horse|Screech owl,deity_cronus_001|deity_rhea_001,deity_persephone_001,src:theoi-hades|src:homer-odyssey|src:ovid-metamorphoses,Brother of Zeus and Poseidon. Ruler of the Underworld. Married to Persephone. Known as wealth god (valuable minerals).
deity_persephone_001,Persephone,DEITY,"Proserpina, Kore, Despoina",Goddess of spring vegetation and the underworld,Spring|Vegetation|Underworld|Rebirth|Agriculture,Proserpina,Pomegranate|Torch|Grain|Crocus,Serpent,deity_demeter_001|deity_hades_001,,src:theoi-persephone|src:homer-hymn-to-demeter|src:ovid-metamorphoses,Daughter of Demeter. Abducted by Hades. Spends half year in underworld; half on earth (explaining seasons).
deity_rhea_001,Rhea,DEITY,"Ops, Great Mother",Titaness and mother of the Olympian gods,Motherhood|Fertility|Nature|Strength|Protection,Ops,"Drum, Serpent, Pastoral crook",Serpent|Lion|Dragon,deity_ouranos_001|deity_kronos_001,"deity_zeus_001|deity_hera_001|deity_poseidon_001|deity_demeter_001|deity_hestia_001|deity_hades_001",src:theoi-rhea|src:hesiod-theogony|src:ovid-metamorphoses,Titaness daughter of Uranus and Gaia. Mother of the twelve Olympians. Associated with mother earth and fertility.
deity_ouranos_001,Ouranos,DEITY,"Uranus, Sky Father",Primordial god of the sky and heavens,Sky|Heaven|Fertility|Stars|Cosmos,Uranus,Starry Sky|Crown,Serpent|Dragon,deity_gaia_001,"deity_kronos_001|deity_rhea_001|deity_titans_001",src:theoi-ouranos|src:hesiod-theogony|src:ovid-metamorphoses,Primordial Titan. Father of the Titans. Castrated by Kronos. Associated with night sky and cosmic order.
deity_gaia_001,Gaia,DEITY,"Ge, Terra, Mother Earth",Primordial goddess of the earth and nature,Earth|Nature|Fertility|Creation|Life,Terra,Earth|Mountains|Cornucopia,Serpent|Dragon,deity_chaos_001,"deity_ouranos_001|deity_titans_001|deity_giants_001|deity_erinyes_001",src:theoi-gaia|src:hesiod-theogony|src:ovid-metamorphoses,Primordial goddess of the earth. Mother of the Titans. Represents the physical earth and nature itself.
deity_tethys_001,Tethys,DEITY,"Tethis",Titaness of fresh water and mother of river gods,Fresh water|Rivers|Springs|Nurturing|Motherhood,,Pitcher|Urn|Water,"Fish|Duck|Crane",deity_ouranos_001|deity_kronos_001,"deity_oceanids_001|deity_river_gods_001",src:theoi-tethys|src:hesiod-theogony|src:ovid-metamorphoses,Titaness daughter of Uranus and Gaia. Wife of Oceanus. Mother of the Oceanids and river gods. Goddess of fresh waters.
deity_oceanus_001,Oceanus,DEITY,"Ocean, Okeanós",Titan god of the ocean and water,Ocean|Water|Boundaries|Rivers|Fertility,,Pitcher|Urn|Wave,"Fish|Dolphin|Serpent",deity_ouranos_001|deity_kronos_001,"deity_oceanids_001|deity_river_gods_001",src:theoi-oceanus|src:hesiod-theogony|src:ovid-metamorphoses,Titan god of the ocean. Father of the Oceanids. Unlike Poseidon represents the oceanic waters themselves.
deity_iapetus_001,Iapetus,DEITY,"Iapetos",Titan god of mortality and the west,Mortality|Death|West|Mortality of man,,Scepter|Torch,Serpent,deity_ouranos_001|deity_kronos_001,"deity_prometheus_001|deity_epimetheus_001|deity_atlas_001",src:theoi-iapetus|src:hesiod-theogony|src:ovid-metamorphoses,Titan son of Uranus and Gaia. Father of Prometheus Epimetheus and Atlas. Associated with mortal death.
deity_themis_001,Themis,DEITY,"Themys, Justitia",Titaness of divine justice and law,Justice|Law|Order|Prophecy|Divine will,,Sword|Scales|Blindfold,"Serpent|Lion",deity_ouranos_001|deity_kronos_001,"deity_moirai_001|deity_horai_001",src:theoi-themis|src:hesiod-theogony|src:ovid-metamorphoses,Titaness of divine justice. Mother of the Fates and Seasons. Gave prophecies before Apollo at Delphi.
deity_mnemosyne_001,Mnemosyne,DEITY,"Mneme, Memory",Titaness of memory and mother of the muses,Memory|Arts|Music|Eloquence|Learning,,Tablet|Stylus|Scroll,"Serpent|Crane",deity_ouranos_001|deity_kronos_001|deity_zeus_001,"deity_muses_001",src:theoi-mnemosyne|src:hesiod-theogony|src:ovid-metamorphoses,Titaness daughter of Uranus and Gaia. Slept with Zeus for nine nights bearing the nine Muses. Goddess of memory.
deity_coeus_001,Coeus,DEITY,"Koios, Polus",Titan god of intelligence and knowledge,Intelligence|Knowledge|Wisdom|Intellect,,Pillar|Torch,Serpent,deity_ouranos_001|deity_kronos_001,"deity_leto_001",src:theoi-coeus|src:hesiod-theogony|src:ovid-metamorphoses,Titan son of Uranus and Gaia. Associated with intelligence and the axis of heaven. Father of Leto.
deity_phoebe_001,Phoebe,DEITY,"Phoibe, Phoebia",Titaness of bright intellect and moon,Intellect|Prophecy|Moon|Brightness|Gold,,Torch|Moon|Crown,"Raven|Swan",deity_ouranos_001|deity_kronos_001,deity_leto_001,src:theoi-phoebe|src:hesiod-theogony|src:ovid-metamorphoses,Titaness of bright intellect. Gave the gift of prophecy to Apollo. Grandmother of Apollo and Artemis.
deity_hyperion_001,Hyperion,DEITY,"Hyperíon, Light",Titan god of light and the sun,Light|Sun|Heaven|Radiance,,Torch|Sun,Serpent,deity_ouranos_001|deity_kronos_001,"deity_helios_001|deity_selene_001|deity_eos_001",src:theoi-hyperion|src:hesiod-theogony|src:ovid-metamorphoses,Titan son of Uranus and Gaia. Father of Helios Selene and Eos. Associated with divine light.
deity_helios_001,Helios,DEITY,"Sol, Helius, Hyperionides",Titan god of the sun,Sun|Light|Day|Vision|Divine truth,,Sun|Golden chariot|Crown,"Horse|Raven|Falcon",deity_hyperion_001|deity_theia_001,"deity_phaethon_001",src:theoi-helios|src:homer-odyssey|src:ovid-metamorphoses,Titan god of the sun. Rides golden chariot across sky daily. Later merged with Apollo. Witnessed all mortal deeds.
deity_selene_001,Selene,DEITY,"Luna, Mene",Titan goddess of the moon,Moon|Night|Dreams|Protection|Madness,,Moon|Crescent|Tiara,"Horse|Owl|Dragon",deity_hyperion_001|deity_theia_001,,src:theoi-selene|src:homer-odyssey|src:ovid-metamorphoses,Titan goddess of the moon. Rides silver chariot across night sky. Fell in love with mortal Endymion.
deity_eos_001,Eos,DEITY,"Aurora, Eos",Titan goddess of the dawn,Dawn|Morning light|Renewal|Resurrection,,Torch|Rose|Wings,"Horse|Dove|Swan",deity_hyperion_001|deity_theia_001,"deity_memnon_001",src:theoi-eos|src:homer-iliad|src:ovid-metamorphoses,Titan goddess of the dawn. Announces the sun's arrival daily. Mother of the winds and stars. Lover of mortal Tithonus.
deity_theia_001,Theia,DEITY,"Teia, Divine Radiance",Titaness of light and brightness,Light|Brightness|Radiance|Gold|Sight,,Torch|Halo|Crown,"Serpent|Eagle",deity_ouranos_001|deity_kronos_001,"deity_helios_001|deity_selene_001|deity_eos_001",src:theoi-theia|src:hesiod-theogony|src:ovid-metamorphoses,Titaness of divine radiance and light. Mother of Helios Selene and Eos. Personifies golden radiance.
deity_eros_001,Eros,DEITY,"Cupid, Amor, Erotes",God of love desire and sexual passion,Love|Desire|Sexual passion|Attraction|Procreation,Cupid,Bow|Arrow|Torch|Blindfold,Dove|Swan|Sparrow,deity_aphrodite_001,,src:theoi-eros|src:hesiod-theogony|src:ovid-metamorphoses,God of love. Appears as winged youth with bow and arrows. Son of Aphrodite (or Chaos and Night). Causes desire in gods and mortals.
deity_nike_001,Nike,DEITY,"Victory, Nike",Goddess of victory and success,Victory|Success|Triumph|Competition|Athletics,,Wreath|Crown|Wings,"Eagle|Dove",deity_styx_001||deity_zeus_001,,src:theoi-nike|src:hesiod-theogony|src:ovid-metamorphoses,Goddess of victory. Attendant of Zeus. Wings represent swift victory. Associated with athletic competitions.
deity_athena_nike_001,Athena Nike,DEITY,"Nike Samothrace",Variant of Athena emphasizing victory,Victory|Wisdom|Warfare|Strategy|Divine favor,,Owl|Spear|Shield|Wings,Owl|Eagle,deity_zeus_001,,src:theoi-athena-nike|src:homer-iliad,Athena in her role as bringer of victory. Distinct cult at Athens particularly regarding military victory.
deity_tyche_001,Tyche,DEITY,"Fortuna, Chance",Goddess of fortune fate and chance,Fortune|Fate|Luck|Destiny|Chance,,Cornucopia|Wheel|Rudder,Serpent,deity_oceanus_001|deity_tethys_001,,src:theoi-tyche|src:ovid-metamorphoses|src:hesiod-theogony,Goddess of chance and good fortune. Later associated with the prosperity of cities. Personifies randomness and luck.
deity_iris_001,Iris,DEITY,"Rainbow, Iris",Goddess of the rainbow and messenger of gods,Rainbow|Messages|Sky|Oaths|Communication,,Torch|Rainbow|Veil,"Dove|Swan",deity_thaumas_001|deity_electra_001,,src:theoi-iris|src:homer-iliad|src:ovid-metamorphoses,Goddess and messenger of the gods especially of Hera. Personifies the rainbow. Serves as mediator between divine and mortal realms.
deity_hebe_001,Hebe,DEITY,"Juventas, Youthfulness",Goddess of youth and rejuvenation,Youth|Rejuvenation|Youthfulness|Spring|Fertility,,Cup|Pitcher|Wreath,Eagle|Peacock|Dove,deity_zeus_001|deity_hera_001,,src:theoi-hebe|src:homer-iliad|src:hesiod-theogony,Daughter of Zeus and Hera. Cupbearer of the gods. Made Heracles immortal by giving him youth and vitality.
deity_eris_001,Eris,DEITY,"Discord, Discordia",Goddess of chaos discord and strife,Discord|Chaos|Strife|Conflict|Rivalry,,Apple (golden),Serpent,deity_nyx_001|deity_zeus_001|deity_hera_001,,src:theoi-eris|src:hesiod-theogony|src:homer-iliad,Goddess of discord. Threw golden apple causing Trojan War. Embodies rivalry and conflict among mortals.
deity_nemesis_001,Nemesis,DEITY,"Rhamnus, Retribution",Goddess of retribution and justice,Retribution|Justice|Balance|Consequences|Moderation,,Sword|Scales|Measuring rod,Serpent|Swan,deity_nyx_001||deity_zeus_001,,src:theoi-nemesis|src:hesiod-theogony|src:ovid-metamorphoses,Goddess of retribution and divine justice. Punishes hubris and excessive pride. Maintains cosmic balance.
deity_moirai_001,Moirai,DEITY,"Fates, Parcae",Goddesses of fate and destiny (Clotho Lachesis Atropos),Fate|Destiny|Threads of life|Inevitability,,Spindle|Scissors|Measuring rod|Loom,Serpent,deity_themis_001|deity_nyx_001,,src:theoi-moirai|src:hesiod-theogony|src:homer-odyssey,Three goddesses controlling human destiny. Clotho spins thread. Lachesis measures it. Atropos cuts it. Even Zeus respects their power.
deity_horai_001,Horai,DEITY,"Hours, Seasons, Horae",Goddesses of the seasons and natural order,Seasons|Order|Nature|Growth|Justice,,Torch|Wheat|Grape,Dove|Serpent,deity_themis_001|deity_zeus_001,,src:theoi-horai|src:hesiod-theogony|src:ovid-metamorphoses,Three goddesses representing order and seasons. Daughters of Themis. Guard the gates of Olympus and Underworld.
deity_nyx_001,Nyx,DEITY,"Night, Nox, Nukta",Primordial goddess of night and darkness,Night|Darkness|Sleep|Dreams|Prophecy,,Starry cloak|Dark veil|Wings,"Owl|Serpent|Raven",deity_chaos_001,"deity_eris_001|deity_nemesis_001|deity_sleep_001|deity_dream_001",src:theoi-nyx|src:hesiod-theogony|src:ovid-metamorphoses,Primordial goddess of night. Mother of Sleep Dreams and Strife. Even Zeus feared to anger her.
deity_hypnos_001,Hypnos,DEITY,"Somnus, Sleep",God of sleep and slumber,Sleep|Slumber|Rest|Dreams|Twilight,,Opium poppy|Torch|Wings,"Owl|Bird",deity_nyx_001,,src:theoi-hypnos|src:homer-iliad|src:ovid-metamorphoses,God of sleep. Lives in cave beneath earth. Brother of Death. Can put anyone to sleep including gods.
deity_morpheus_001,Morpheus,DEITY,"Morphée, Dreams",God of dreams and sleep,Dreams|Sleep|Visions|Nightmares|Prophecy,,Poppy|Wings|Pillow,"Butterfly|Raven|Owl",deity_hypnos_001,,src:theoi-morpheus|src:ovid-metamorphoses,God of dreams. Son of Hypnos (Sleep). Brings dreams to mortals. Shapes dreams with great skill.
deity_thanatos_001,Thanatos,DEITY,"Mors, Death",God of peaceful death,Death|Peaceful dying|Mortality|Eternal sleep|Darkness,,Sword|Torch|Wings,"Raven|Black wings",deity_nyx_001,,src:theoi-thanatos|src:homer-iliad|src:homer-odyssey|src:ovid-metamorphoses,God of death. Brings peaceful death to mortals when their time comes. Twin of Sleep (Hypnos).
deity_erinyes_001,Erinyes,DEITY,"Furies, Furiae, Eumenides",Goddesses of vengeance and punishment,Vengeance|Punishment|Curses|Justice|Filial duty,,Torch|Snake|Wings,Serpent|Hound,deity_gaia_001|deity_erebus_001,,src:theoi-erinyes|src:homer-odyssey|src:homer-iliad|src:aeschylus-oresteia,Three fearsome goddesses who punish oath-breakers murderers and the impious. Born from blood of Uranus.
deity_hephaestus_servants,Hephaestus Servants,DEITY,"Automates, Automatons",Servants and creations of Hephaestus,Craftwork|Service|Creation,,Tool|Armor|Metal,Serpent,deity_hephaestus_001,,src:theoi-automatons,Magical beings created by Hephaestus including Talos and bronze servants of the gods.
deity_pan_001,Pan,DEITY,"Faun, Faunus, Kernos",God of shepherds flocks forests and wild places,Shepherds|Flocks|Forests|Wild nature|Fertility|Panic,Faunus,Pipes|Caduceus|Goat leg,Goat|Serpent|Lamb,deity_hermes_001,,src:theoi-pan|src:homer-hymn-to-pan|src:ovid-metamorphoses,God of shepherds and wild nature. Half-goat half-human. Plays panpipes. Associated with panic and fear in wilderness.
deity_satyr_001,Satyrs,DEITY,"Satyrs, Seilenoi",Demigods of the forest and wild revelry,Forests|Wine|Revelry|Music|Sexuality,,Pipes|Wine cup|Phallus,Goat|Horse,deity_dionysus_001|deity_hermes_001,,src:theoi-satyrs|src:ovid-metamorphoses,Companions of Dionysus. Half-human half-animal creatures. Associated with wine music and wild nature.
deity_naiads_001,Naiads,DEITY,"Naiades, Water Nymphs",Nymphs of fresh water sources,Fresh water|Springs|Streams|Rivers|Fertility,,Pitcher|Water|Wreath,"Fish|Duck|Crane",deity_oceanus_001|deity_tethys_001,,src:theoi-naiads|src:hesiod-theogony|src:ovid-metamorphoses,Nymphs of streams springs and rivers. Daughters of Oceanus or Tethys. Known for their beauty and mischievous nature.
deity_dryads_001,Dryads,DEITY,"Dryades, Tree Nymphs",Nymphs of the forests and trees,Forests|Trees|Nature|Protection|Fertility,,Oak tree|Wreath|Vine,"Deer|Dove",deity_gaia_001,,src:theoi-dryads|src:ovid-metamorphoses|src:hesiod-theogony,Nymphs of trees and forests. Each dryad is connected to a specific tree. Represent nature's vitality and protection.
deity_nereid_001,Nereids,DEITY,"Naiades of sea, Sea Nymphs",Nymphs of the sea and ocean,Sea|Ocean|Water|Beauty|Protection,,Shells|Coral|Pearl,"Dolphin|Fish",deity_nereus_001,,src:theoi-nereids|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Fifty sea nymphs daughters of Nereus. Associated with serenity and protection of sailors. Live in Aegean Sea.
deity_nereus_001,Nereus,DEITY,"Old Man of the Sea, Néreus",Ancient sea god and father of the Nereids,Sea|Old age|Prophecy|Transformation|Wisdom,,Trident|Seaweed|Coral,"Fish|Dolphin|Serpent",deity_oceanus_001|deity_tethys_001,deity_nereid_001,src:theoi-nereus|src:homer-iliad|src:hesiod-theogony|src:ovid-metamorphoses,Ancient sea god. Can transform into any shape. Known for truthfulness and wisdom. Father of fifty Nereids.
deity_tethys_oceanus,Oceanus & Tethys,DEITY,"Primordial Waters",Titan deities of water and fresh water,Water|Primordial forces|Nature|Fertility,,Wave|Pitcher|Urn,"Fish|Dolphin|Crane",deity_ouranos_001|deity_kronos_001,"deity_oceanids_001|deity_river_gods_001",src:theoi-oceanus-tethys|src:hesiod-theogony,Primordial Titan couple representing oceanic and fresh waters respectively.
deity_amphitrite_001,Amphitrite,DEITY,"Queen of the Sea, Tethys variant",Queen of the sea and wife of Poseidon,Sea|Motherhood|Royalty|Protection|Fertility,,Crown|Trident|Coral|Shells,"Dolphin|Fish",deity_oceanus_001|deity_tethys_001,deity_triton_001,src:theoi-amphitrite|src:homer-odyssey|src:ovid-metamorphoses,Queen of the sea wife of Poseidon. Mother of Triton. Commands sea creatures and protects sailors.
deity_triton_001,Triton,DEITY,"Triton, Fish-tailed messenger",Messenger of the sea and son of Poseidon,Sea|Messages|Prophecy|Music|Guidance,,Conch shell|Trident|Seaweed,"Dolphin|Fish|Horse",deity_poseidon_001|deity_amphitrite_001,,src:theoi-triton|src:homer-iliad|src:ovid-metamorphoses,Son of Poseidon and Amphitrite. Part-human part-fish. Messenger of the sea. Calms or stirred up waves.
deity_asclepius_001,Asclepius,DEITY,"Aesculapius, Asklepios",God of medicine and healing,Medicine|Healing|Physicians|Snakes|Resurrection,Aesculapius,Serpent|Staff with serpent|Medicinal herbs,Serpent|Dog|Owl,deity_apollo_001,,src:theoi-asclepius|src:ovid-metamorphoses|src:pindar-pythian,Son of Apollo. God of medicine and healing. Known for bringing dead back to life (angered Zeus).
deity_hecate_001,Hecate,DEITY,"Hekataie, Crossroads goddess",Goddess of witchcraft crossroads and magic,Witchcraft|Crossroads|Magic|Protection|Prophecy|Underworld,,"Torch|Dagger|Key|Serpent|Red garment","Red dog|Owl|Serpent|Stag",deity_perses_001|deity_asteria_001|deity_zeus_001,,src:theoi-hecate|src:hesiod-theogony|src:ovid-metamorphoses,Goddess of witchcraft and magic. Guards crossroads. Guides travelers and protects households. Commands ghosts and demons.
deity_styx_001,Styx,DEITY,"River Styx, Oath goddess",Goddess of oaths and the river in Underworld,Oaths|Underworld|Rivers|Faithfulness|Binding,,"River|Oath|Water|Wings","Serpent|Heron",deity_oceanus_001|deity_tethys_001,deity_nike_001,src:theoi-styx|src:hesiod-theogony|src:homer-odyssey|src:ovid-metamorphoses,Titaness of the river Styx in Underworld. Oaths sworn on her waters are binding even to gods.
human_heracles_001,Heracles,HUMAN,"Hercules, Herkles, Alkides",Greatest hero of antiquity known for twelve labors,Strength|Courage|Heroism|Labor|Triumph|Divine union,Hercules,Lion skin|Club|Bow|Arrows,Lion|Bull|Boar,deity_zeus_001|deity_alcmene_001,"hero_theseus_001|hero_iason_001",src:theoi-heracles|src:homer-odyssey|src:ovid-metamorphoses|src:apollodorus-library,Son of Zeus and mortal Alcmene. Greatest hero of Greek mythology. Completed twelve seemingly impossible labors for king Eurystheus.
human_perseus_001,Perseus,HUMAN,"Perseas, Perseios",Hero who slew Medusa and saved Andromeda,Heroism|Courage|Monster slaying|Rescue|Divine heritage,,"Adamantine sickle|Shield|Winged sandals|Harpe","Eagle|Pegasus|Griffin",deity_zeus_001|deity_danae_001,"human_andromeda_001",src:theoi-perseus|src:ovid-metamorphoses|src:apollodorus-library,Son of Zeus and Danae. Slew Medusa using her reflection in his polished shield. Rescued Andromeda and married her.
human_theseus_001,Theseus,HUMAN,"Theseos, Theseus",King of Athens hero of multiple adventures,Heroism|Wisdom|Kingship|Adventure|Foundation,,"Sword|Shield|Sandals|Wreath","Horse|Bull|Crane",deity_poseidon_001|deity_aethra_001,"human_hippolytus_001|human_ariadne_001",src:theoi-theseus|src:ovid-metamorphoses|src:apollodorus-library|src:plutarch-theseus,Son of Poseidon or Aegeus. King of Athens. Slew Minotaur. Went on many adventures including journey to Trojan War.
human_jason_001,Jason,HUMAN,"Iason, Iasones",Leader of the Argonauts on quest for Golden Fleece,Leadership|Adventure|Questing|Heroism|Fate,,"Argonaut insignia|Sword|Sandals","Horse|Eagle",deity_zeus_001|deity_aeson_001|deity_medea_001,"human_medea_001",src:theoi-jason|src:ovid-metamorphoses|src:apollonius-argonautica,Leader of the Argonauts. Sailed on Argo seeking Golden Fleece. Married and loved Medea (who later betrayed him).
human_andromeda_001,Andromeda,HUMAN,"Andromedè, Chains",Princess of Ethiopia rescued by Perseus,Heroism|Rescue|Beauty|Sacrifice|Royalty,,"Chains|Crown|Pearl|Coral","Dolphin|Crane",human_cepheus_001|human_cassiopeia_001,human_perseus_001,src:theoi-andromeda|src:ovid-metamorphoses|src:apollodorus-library,Ethiopian princess sacrificed to sea monster Cetus. Rescued by Perseus with whom she had many children. Mother of Perseid dynasty.
human_medea_001,Medea,HUMAN,"Medée, Medea",Sorceress who helped Jason and later betrayed him,Sorcery|Passion|Betrayal|Revenge|Power|Magic,,Cup|Serpent|Dragon|Cauldron,Serpent|Dragon,deity_apollo_001|deity_helios_001|deity_hecate_001,,src:theoi-medea|src:ovid-metamorphoses|src:apollonius-argonautica|src:euripides-medea,Daughter of Helios and Oceanid. Powerful sorceress. Helped Jason win Golden Fleece but later killed their children in revenge.
human_achilles_001,Achilles,HUMAN,"Achilleus, Achileus, Pelides",Greatest Greek warrior of Trojan War,Warfare|Heroism|Pride|Strength|Immortality,,"Spear|Shield|Armor|Sword","Horse|Eagle",deity_thetis_001|deity_peleus_001,"human_neoptolemus_001",src:theoi-achilles|src:homer-iliad|src:ovid-metamorphoses,Son of Nereid Thetis and mortal Peleus. Invincible Greek warrior. Slew Hector. Died at Troy killed by Paris's arrow to heel.
